Ecole,Age,Habitat,Parcelle,Nb arbres,Temps,Ganivelles,Emplacement,Enfantsparm2,Surface, Argile,Limon,Sable, MO,N_Tot, Cu, Ni, Pb, Zn,Plagiolepis_pygmaea,Messor_groupe_ibericus,Lasius_groupe_niger,Monomorium_monorium,Crematogaster_scutellaris,Proformica_nasuta,Pheidole_pallidula,Tetramorium_sp,Tapinoma_madeirense,Colobopsis_truncata,Camponotus_piceus,Campanotus_lateralis,Messor_barbarus,Lasius_lasioides,Temnothorax_unifasciatus,Tapinoma_glabrella,Linepithema_humile,Camponotus_fallax,Camponotus_aethiops,Temnothorax_continentalis,Formica_cunicularia,Solenopsis_sp,Tapinoma_erraticum,Tapinoma_groupe_nigerrimum,Hypoponera_eduardi,Formica_rufibarbis,Temnothorax_lichtensteini,Temnothorax_recedens,Themnothorax_sp,Species,Nb_AppatsAnt,Nb_Appats,Activity
Petit Prince,2023,CpPl,CpPl_48Pri,1,1,1,1,9.2,31.21,449,261.0,290.0,64.3,2.3,37.8,19.5,25.6,62.7,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,3,66.66666666666666
George Sand,2023,CpUt,CpPl_49San,1,1,0,1,10.6,20.39,315,284.0,401.0,37.4,1.8,64.2,24.9,38.2,65.9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,2,100.0
Ensoleihat,2023,CpPl,CpPl_50EnsE,3,1,1,1,4.0,26.8,330,332.0,338.0,57.7,2.4,77.9,19.0,27.4,58.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,33.33333333333333
Ensoleihat,2023,CpPl,CpPl_51EnsE,2,1,1,1,4.0,15.39,297,293.0,410.0,26.4,1.0,44.8,18.6,29.3,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,2,2,100.0
Boulloche,2021,CpUt,CpUt_01Bou,3,3,0,0,11.6,119.8,206,187.2,607.0,72.5,1.2,30.4,12.6,17.9,40.2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,12,33.33333333333333
Boulloche,2021,CpUt,CpUt_02Bou,2,3,0,0,11.6,46.3,183,210.5,605.0,44.7,1.5,61.4,17.6,23.7,49.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0.0
Boulloche,2021,CpUt,CpUt_03Bou,4,3,0,0,11.6,237.6,153,195.2,652.0,35.5,1.5,66.4,14.6,20.1,42.8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,22,13.636363636363635
Boulloche,2021,CpUt,CpUt_04Bou,3,3,1,1,11.6,103.6,357,225.5,417.0,35.9,1.6,19.7,11.3,12.7,60.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,7,14.285714285714285
Boulloche,2021,CpUt,CpUt_05Bou,0,3,1,1,11.6,33.6,488,131.1,381.4,23.2,0.73,4.5,10.1,4.2,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,33.33333333333333
Voltaire,2021,CpUt,CpUt_06Vol,5,3,0,0,10.7,157.0,302,236.5,462.0,47.5,2.2,33.9,14.1,25.6,48.1,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,12,25.0
