"Dossier : LAB24-5670","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"N° Laboratoire","Réf échantillon","N° FR","Exploitant - parcelle","Date de prélèvement","Nature"," Argile (déc) (o/oo) g/kg "," Limon Fin (déc) (o/oo) g/kg "," Limon Grossier (déc) (o/oo) g/kg "," Sable Fin (déc) (o/oo) g/kg "," Sable Grossier (déc) (o/oo) g/kg "," pH eau - "," Carbonates totaux g/kg "," Carb. organique (o/oo) g/kg "," Matière organique (o/oo) g/kg "," Azote total (o/oo) g/kg "," C/N - "," P2O5 Olsen (o/oo) g/kg "," Cu DTPA mg/kg "," Zn DTPA mg/kg "," Ni DTPA mg/kg "," Cu total ER (mg/Kg) "," Ni total ER (mg/Kg) "," Pb total ER (mg/Kg) "," Zn total ER (mg/Kg) "
"T-02485-24","CpPl_19Lou","WW 847923","UNIV PAUL VALERY CpPl_19Lou","2/5/2024","TERRES","327","145","138","210","180","8.3","314","31.1","53.7","1.7","18.6","0.072","13.8","3.8","0.43","47.9","18.3","25.4","57.7"
"T-02486-24","CpPl_20Lou","WW 847925","UNIV PAUL VALERY CpPl_20Lou","2/5/2024","TERRES","341","126","168","232","133","8.4","306","22.2","38.4","1.6","13.5","0.055","12.6","3.9","0.31","50.0","20.4","31.5","60.4"
"T-02487-24","CpPl_21Lou","WW 847927","UNIV PAUL VALERY CpPl_21Lou","2/5/2024","TERRES","306","133","119","191","250","8.4","118","19.4","33.5","1.5","13.3","0.043","15.1","4.1","0.40","53.2","22.2","31.1","64.5"
"T-02488-24","CpPl_22Lou","WW 847929","UNIV PAUL VALERY CpPl_22Lou","2/5/2024","TERRES","343","144","138","187","188","8.4","321","17.5","30.3","1.4","12.3","0.048","15.1","3.9","0.59","41.2","18.8","23.8","57.1"
"T-02489-24","CpPl_23Lou","WW 847931","UNIV PAUL VALERY CpPl_23Lou","2/5/2024","TERRES","340","158","145","212","145","8.3","320","20.0","34.6","1.3","15.6","0.055","15.3","3.4","0.54","43.0","21.2","24.2","57.5"
"T-02490-24","CpPl_24Rob","WW 847933","UNIV PAUL VALERY CpPl_24Rob","2/5/2024","TERRES","341","157","146","219","138","8.4","374","19.0","33.0","1.4","14.1","0.051","9.5","3.4","0.35","33.2","17.4","22.3","50.3"
"T-02491-24","CpPl_25Rob","WW 847935","UNIV PAUL VALERY CpPl_25Rob","2/5/2024","TERRES","341","149","144","194","173","8.5","354","21.2","36.6","1.5","13.9","0.068","10.3","3.4","0.32","37.9","17.5","34.9","53.3"
"T-02492-24","CpPl_26Rob","WW 847937","UNIV PAUL VALERY CpPl_26Rob","2/5/2024","TERRES","349","157","150","192","152","8.4","348","23.2","40.2","1.6","14.7","0.049","14.2","6.2","0.62","38.7","18.6","22.3","62.5"
"T-02493-24","CpPl_27Rob","WW 847939","UNIV PAUL VALERY CpPl_27Rob","2/5/2024","TERRES","347","183","166","189","114","8.6","398","12.5","21.7","1.1","11.8","0.062","8.3","2.7","0.22","31.2","18.3","21.1","53.5"
"T-02494-24","CpPl_28Rob","WW 847941","UNIV PAUL VALERY CpPl_28Rob","2/5/2024","TERRES","317","143","159","199","182","8.5","428","17.2","29.7","1.3","13.0","0.051","12.3","3.4","0.37","41.5","17.6","23.3","54.5"
"T-02495-24","CpPl_29Sun","WW 847943","UNIV PAUL VALERY CpPl_29Sun","2/5/2024","TERRES","262","125","136","251","225","8.5","155","8.2","14.3","0.65","12.7","0.010","18.3","3.2","0.14","58.6","17.9","36.9","55.8"
"T-02496-24","CpPl_30Sun","WW 847945","UNIV PAUL VALERY CpPl_30Sun","2/5/2024","TERRES","300","129","128","249","194","8.6","324","52.4","90.6","3.4","15.6","0.12","13.4","8.2","0.30","60.6","15.3","46.2","71.0"
"T-02497-24","CpPl_31Sun","WW 847947","UNIV PAUL VALERY CpPl_31Sun","2/5/2024","TERRES","403","154","153","163","127","8.4","226","24.2","41.9","1.7","14.0","0.029","37.2","4.1","0.26","128","25.5","67.3","75.3"
"T-02498-24","CpPl_32Sun","WW 847949","UNIV PAUL VALERY CpPl_32Sun","2/5/2024","TERRES","386","157","162","186","108","8.3","220","26.7","46.2","1.5","17.6","0.023","37.1","3.6","0.22","130","26.5","67.2","73.9"
"T-02499-24","CpPl_33Sun","WW 847951","UNIV PAUL VALERY CpPl_33Sun","2/5/2024","TERRES","390","152","148","175","135","8.4","198","16.0","27.7","1.3","12.8","0.030","44.6","3.6","0.22","155","28.3","76.0","77.7"
"T-02500-24","CpPl_34Jea","WW 847953","UNIV PAUL VALERY CpPl_34Jea","2/5/2024","TERRES","249","112","91.2","256","291","8.4","311","24.9","43.0","2.1","11.9","0.062","15.6","4.8","0.26","61.3","16.3","26.8","58.2"
"T-02501-24","CpPl_35Jea","WW 847955","UNIV PAUL VALERY CpPl_35Jea","2/5/2024","TERRES","330","153","123","147","246","8.4","365","33.0","57.1","2.5","13.5","0.094","8.9","7.8","0.43","42.5","19.2","23.8","67.1"
"T-02502-24","CpPl_36Jea","WW 847957","UNIV PAUL VALERY CpPl_36Jea","2/5/2024","TERRES","289","138","115","144","314","8.5","296","31.2","54.0","2.6","12.1","0.084","8.6","5.8","0.35","42.0","20.6","26.4","66.2"
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"Dossier : LAB24-5666","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"N° Laboratoire","Réf échantillon","N° FR","Exploitant - parcelle","Date de prélèvement","Nature"," Argile (déc) (o/oo) g/kg "," Limon Fin (déc) (o/oo) g/kg "," Limon Grossier (déc) (o/oo) g/kg "," Sable Fin (déc) (o/oo) g/kg "," Sable Grossier (déc) (o/oo) g/kg "," pH eau - "," Carbonates totaux g/kg "," Carb. organique (o/oo) g/kg "," Matière organique (o/oo) g/kg "," Azote total (o/oo) g/kg "," C/N - "," P2O5 Olsen (o/oo) g/kg "," Cu DTPA mg/kg "," Zn DTPA mg/kg "," Ni DTPA mg/kg "," Cu total ER (mg/Kg) "," Ni total ER (mg/Kg) "," Pb total ER (mg/Kg) "," Zn total ER (mg/Kg) "
"T-02463-24","CpUt_44San","WW 847879","UNIV PAUL VALERY CpUt_44San","2/5/2024","TERRES","323","149","142","261","125","8.5","430","16.4","28.4","1.3","12.7","0.011","10.5","2.8","0.36","43.5","20.5","258","51.0"
"T-02464-24","CpUt_45EnsM","WW 847881","UNIV PAUL VALERY CpUt_45EnsM","2/5/2024","TERRES","310","140","166","279","105","8.5","375","12.6","21.8","1.3","9.3","0.028","11.2","2.3","0.18","50.6","19.2","33.4","54.2"
"T-02465-24","CpUt_46EnsM","WW 847883","UNIV PAUL VALERY CpUt_46EnsM","2/5/2024","TERRES","346","162","153","198","141","8.4","395","18.9","32.7","2.1","8.9","0.027","7.4","2.8","0.28","37.7","17.4","26.0","52.5"
"T-02466-24","CpUt_47EnsE","WW 847885","UNIV PAUL VALERY CpUt_47EnsE","2/5/2024","TERRES","317","185","158","159","182","8.5","582","18.9","32.7","1.7","10.9","0.076","17.9","4.4","0.62","40.8","13.6","19.5","39.8"
"T-02467-24","CpUt_48EnsE","WW 847887","UNIV PAUL VALERY CpUt_48EnsE","2/5/2024","TERRES","324","173","170","175","159","8.6","546","10.2","17.6","1.2","8.6","0.040","12.3","2.9","0.29","35.4","14.9","17.2","42.5"
"T-02468-24","CpPl_01Bou","WW 847889","UNIV PAUL VALERY CpPl_01Bou","2/5/2024","TERRES","172","122","94.2","146","466","8.4","193","17.8","30.7","1.6","11.2","0.057","19.5","3.8","0.46","58.7","16.3","38.9","54.6"
"T-02469-24","CpPl_02Bou","WW 847891","UNIV PAUL VALERY CpPl_02Bou","2/5/2024","TERRES","167","115","89.2","144","485","8.3","171","24.6","42.5","1.6","15.5","0.061","21.7","3.9","0.49","54.4","14.9","32.2","49.4"
"T-02470-24","CpPl_03Bou","WW 847893","UNIV PAUL VALERY CpPl_03Bou","2/5/2024","TERRES","149","103","83.7","140","524","8.2","164","20.0","34.7","1.7","12.0","0.067","19.0","3.8","0.43","57.8","15.1","26.8","51.9"
